seed,value,params,trial_number,batch_size,n_steps,gamma,lr,ent_coef,cliprange,noptepochs,lamdba,max_grad_norm,vf_coef,cliprange_vf
2024,-50.0,"{'gamma': 0.9, 'lr': 0.004226565341816322, 'tau': 0.20658408649468812, 'batch_size': 64, 'buffer_size': 100000, 'learning_starts': 2884, 'train_freq': 23, 'gradient_steps': 10, 'ent_coef': 1.0, 'net_arch': 'small'}",53,64,,0.9,0.004226565341816322,1.0,,,,,,
2024,-6.0,"{'gamma': 0.999, 'lr': 0.0044121358706966755, 'tau': 0.2927022484246215, 'batch_size': 64, 'buffer_size': 100000, 'learning_starts': 2356, 'train_freq': 197, 'gradient_steps': 10, 'ent_coef': 1.0, 'net_arch': 'small'}",54,64,,0.999,0.0044121358706966755,1.0,,,,,,
2024,-14.0,"{'gamma': 0.9, 'lr': 0.0026070582216694517, 'tau': 0.18944713085386425, 'batch_size': 64, 'buffer_size': 100000, 'learning_starts': 3685, 'train_freq': 83, 'gradient_steps': 10, 'ent_coef': 1.0, 'net_arch': 'small'}",55,64,,0.9,0.0026070582216694517,1.0,,,,,,
2024,26.0,"{'gamma': 0.9, 'lr': 0.010600759531487777, 'tau': 0.487670927738131, 'batch_size': 64, 'buffer_size': 100000, 'learning_starts': 1474, 'train_freq': 42, 'gradient_steps': 10, 'ent_coef': 1.0, 'net_arch': 'small'}",56,64,,0.9,0.010600759531487777,1.0,,,,,,
2024,2.0,"{'gamma': 0.9999, 'lr': 0.021355906226827984, 'tau': 0.044301738188273744, 'batch_size': 64, 'buffer_size': 1000000, 'learning_starts': 4122, 'train_freq': 136, 'gradient_steps': 300, 'ent_coef': 0.1, 'net_arch': 'small'}",57,64,,0.9999,0.021355906226827984,0.1,,,,,,
2024,20.0,"{'gamma': 0.99, 'lr': 0.711629091817316, 'tau': 0.07552404783218716, 'batch_size': 32, 'buffer_size': 100000, 'learning_starts': 64, 'train_freq': 279, 'gradient_steps': 10, 'ent_coef': 1.0, 'net_arch': 'small'}",58,32,,0.99,0.711629091817316,1.0,,,,,,
2024,6.0,"{'gamma': 0.98, 'lr': 0.0011263636824004534, 'tau': 0.1042145999492485, 'batch_size': 256, 'buffer_size': 100000, 'learning_starts': 2701, 'train_freq': 485, 'gradient_steps': 10, 'ent_coef': 0.5, 'net_arch': 'small'}",59,256,,0.98,0.0011263636824004534,0.5,,,,,,
2024,26.0,"{'gamma': 0.9, 'lr': 0.005405190701501759, 'tau': 0.635178322121217, 'batch_size': 64, 'buffer_size': 100000, 'learning_starts': 3306, 'train_freq': 639, 'gradient_steps': 10, 'ent_coef': 0.001, 'net_arch': 'small'}",60,64,,0.9,0.005405190701501759,0.001,,,,,,
2024,22.0,"{'gamma': 0.95, 'lr': 0.033501428434705424, 'tau': 0.21099301485373131, 'batch_size': 128, 'buffer_size': 100000, 'learning_starts': 4712, 'train_freq': 23, 'gradient_steps': 300, 'ent_coef': 1.0, 'net_arch': 'small'}",61,128,,0.95,0.033501428434705424,1.0,,,,,,
2024,24.0,"{'gamma': 0.95, 'lr': 0.0012920091617936733, 'tau': 0.027466411531856996, 'batch_size': 512, 'buffer_size': 10000, 'learning_starts': 2196, 'train_freq': 870, 'gradient_steps': 1, 'ent_coef': 'auto', 'net_arch': 'medium', 'target_entropy': -50}",62,512,,0.95,0.0012920091617936733,auto,,,,,,
2024,-14.0,"{'gamma': 0.95, 'lr': 0.0002997744067697347, 'tau': 0.00111072871117733, 'batch_size': 64, 'buffer_size': 100000, 'learning_starts': 5390, 'train_freq': 165, 'gradient_steps': 10, 'ent_coef': 1.0, 'net_arch': 'small'}",63,64,,0.95,0.0002997744067697347,1.0,,,,,,
2024,22.0,"{'gamma': 0.95, 'lr': 0.0006128070844526884, 'tau': 0.36476356177427954, 'batch_size': 512, 'buffer_size': 10000, 'learning_starts': 6258, 'train_freq': 108, 'gradient_steps': 100, 'ent_coef': 0.05, 'net_arch': 'medium'}",64,512,,0.95,0.0006128070844526884,0.05,,,,,,
2024,20.0,"{'gamma': 0.95, 'lr': 0.0017999036171192733, 'tau': 0.004929502416045429, 'batch_size': 512, 'buffer_size': 1000000, 'learning_starts': 4307, 'train_freq': 957, 'gradient_steps': 1, 'ent_coef': 0.1, 'net_arch': 'medium'}",65,512,,0.95,0.0017999036171192733,0.1,,,,,,
2024,32.0,"{'gamma': 0.995, 'lr': 0.003063538334711161, 'tau': 0.014579568841996791, 'batch_size': 512, 'buffer_size': 100000, 'learning_starts': 5870, 'train_freq': 86, 'gradient_steps': 10, 'ent_coef': 0.5, 'net_arch': 'medium'}",66,512,,0.995,0.003063538334711161,0.5,,,,,,
2024,24.0,"{'gamma': 0.95, 'lr': 0.006781391982729488, 'tau': 0.05727470883506964, 'batch_size': 16, 'buffer_size': 10000, 'learning_starts': 5040, 'train_freq': 201, 'gradient_steps': 300, 'ent_coef': 'auto', 'net_arch': 'medium', 'target_entropy': -100}",67,16,,0.95,0.006781391982729488,auto,,,,,,
2024,28.0,"{'gamma': 0.95, 'lr': 0.0012559374692151554, 'tau': 0.15791077439566245, 'batch_size': 32, 'buffer_size': 100000, 'learning_starts': 2967, 'train_freq': 560, 'gradient_steps': 1, 'ent_coef': 1.0, 'net_arch': 'big'}",68,32,,0.95,0.0012559374692151554,1.0,,,,,,
2024,42.0,"{'gamma': 0.999, 'lr': 0.000989822525600648, 'tau': 0.3051528853615175, 'batch_size': 512, 'buffer_size': 10000, 'learning_starts': 7338, 'train_freq': 725, 'gradient_steps': 10, 'ent_coef': 0.01, 'net_arch': 'small'}",69,512,,0.999,0.000989822525600648,0.01,,,,,,
2024,20.0,"{'gamma': 0.95, 'lr': 0.0006335633919098271, 'tau': 0.00027748525191296136, 'batch_size': 64, 'buffer_size': 100000, 'learning_starts': 3662, 'train_freq': 149, 'gradient_steps': 10, 'ent_coef': 1.0, 'net_arch': 'small'}",70,64,,0.95,0.0006335633919098271,1.0,,,,,,
2024,20.0,"{'gamma': 0.95, 'lr': 0.3252932247531825, 'tau': 0.10687252031988435, 'batch_size': 32, 'buffer_size': 10000, 'learning_starts': 4559, 'train_freq': 242, 'gradient_steps': 10, 'ent_coef': 0.1, 'net_arch': 'medium'}",71,32,,0.95,0.3252932247531825,0.1,,,,,,
2024,-26.0,"{'gamma': 0.95, 'lr': 0.0001691894774499823, 'tau': 0.0011285165758496796, 'batch_size': 64, 'buffer_size': 100000, 'learning_starts': 5387, 'train_freq': 40, 'gradient_steps': 10, 'ent_coef': 1.0, 'net_arch': 'small'}",72,64,,0.95,0.0001691894774499823,1.0,,,,,,
2024,32.0,"{'gamma': 0.95, 'lr': 0.00011947291360112269, 'tau': 0.0024840386661461877, 'batch_size': 64, 'buffer_size': 100000, 'learning_starts': 5403, 'train_freq': 44, 'gradient_steps': 10, 'ent_coef': 1.0, 'net_arch': 'small'}",73,64,,0.95,0.00011947291360112269,1.0,,,,,,
2024,24.0,"{'gamma': 0.95, 'lr': 3.4621264810274355e-05, 'tau': 0.0009604332118571801, 'batch_size': 64, 'buffer_size': 100000, 'learning_starts': 6662, 'train_freq': 138, 'gradient_steps': 10, 'ent_coef': 1.0, 'net_arch': 'small'}",74,64,,0.95,3.4621264810274355e-05,1.0,,,,,,
2024,16.0,"{'gamma': 0.95, 'lr': 0.00017334140280360588, 'tau': 0.0004106784655306269, 'batch_size': 64, 'buffer_size': 100000, 'learning_starts': 5142, 'train_freq': 91, 'gradient_steps': 10, 'ent_coef': 1.0, 'net_arch': 'small'}",75,64,,0.95,0.00017334140280360588,1.0,,,,,,
2024,-12.0,"{'gamma': 0.9, 'lr': 0.0003713660128825662, 'tau': 0.23417572845043677, 'batch_size': 64, 'buffer_size': 100000, 'learning_starts': 2999, 'train_freq': 2, 'gradient_steps': 10, 'ent_coef': 1.0, 'net_arch': 'small'}",76,64,,0.9,0.0003713660128825662,1.0,,,,,,
2024,,"{'gamma': 0.95, 'lr': 0.004293594088607864, 'tau': 0.001781419796148296, 'batch_size': 64, 'buffer_size': 100000, 'learning_starts': 4109, 'train_freq': 185, 'gradient_steps': 10, 'ent_coef': 1.0, 'net_arch': 'small'}",77,64,,0.95,0.004293594088607864,1.0,,,,,,
2024,20.0,"{'gamma': 0.95, 'lr': 0.000143070358779119, 'tau': 0.001472056402876176, 'batch_size': 64, 'buffer_size': 100000, 'learning_starts': 4109, 'train_freq': 184, 'gradient_steps': 10, 'ent_coef': 1.0, 'net_arch': 'small'}",78,64,,0.95,0.000143070358779119,1.0,,,,,,
2024,18.0,"{'gamma': 0.9999, 'lr': 0.004693339193986982, 'tau': 0.0006040920852156354, 'batch_size': 512, 'buffer_size': 100000, 'learning_starts': 5999, 'train_freq': 836, 'gradient_steps': 100, 'ent_coef': 'auto', 'net_arch': 'medium', 'target_entropy': -1}",79,512,,0.9999,0.004693339193986982,auto,,,,,,
2024,-18.0,"{'gamma': 0.95, 'lr': 0.0018012097604407115, 'tau': 0.06806097863304796, 'batch_size': 64, 'buffer_size': 100000, 'learning_starts': 4868, 'train_freq': 55, 'gradient_steps': 10, 'ent_coef': 1.0, 'net_arch': 'small'}",80,64,,0.95,0.0018012097604407115,1.0,,,,,,
2024,26.0,"{'gamma': 0.98, 'lr': 6.67090189485753e-05, 'tau': 0.02482338913472523, 'batch_size': 64, 'buffer_size': 100000, 'learning_starts': 3979, 'train_freq': 303, 'gradient_steps': 10, 'ent_coef': 1.0, 'net_arch': 'small'}",81,64,,0.98,6.67090189485753e-05,1.0,,,,,,
2024,0.0,"{'gamma': 0.9, 'lr': 0.0002580405052117249, 'tau': 0.16102458555757018, 'batch_size': 64, 'buffer_size': 100000, 'learning_starts': 1646, 'train_freq': 23, 'gradient_steps': 10, 'ent_coef': 0.5, 'net_arch': 'small'}",82,64,,0.9,0.0002580405052117249,0.5,,,,,,
2024,-50.0,"{'gamma': 0.9, 'lr': 0.000497990384912855, 'tau': 0.12267309891617423, 'batch_size': 64, 'buffer_size': 100000, 'learning_starts': 3110, 'train_freq': 138, 'gradient_steps': 10, 'ent_coef': 1.0, 'net_arch': 'small'}",83,64,,0.9,0.000497990384912855,1.0,,,,,,
2024,20.0,"{'gamma': 0.9, 'lr': 0.0024914537804664057, 'tau': 0.04270987997868774, 'batch_size': 256, 'buffer_size': 100000, 'learning_starts': 2091, 'train_freq': 132, 'gradient_steps': 1, 'ent_coef': 0.001, 'net_arch': 'small'}",84,256,,0.9,0.0024914537804664057,0.001,,,,,,
2024,32.0,"{'gamma': 0.9, 'lr': 0.009101755018942411, 'tau': 0.0035076404848042877, 'batch_size': 128, 'buffer_size': 10000, 'learning_starts': 3402, 'train_freq': 420, 'gradient_steps': 300, 'ent_coef': 0.05, 'net_arch': 'small'}",85,128,,0.9,0.009101755018942411,0.05,,,,,,
2024,30.0,"{'gamma': 0.9, 'lr': 0.0033849483102141266, 'tau': 0.0017809736969374211, 'batch_size': 64, 'buffer_size': 100000, 'learning_starts': 2723, 'train_freq': 213, 'gradient_steps': 10, 'ent_coef': 1.0, 'net_arch': 'small'}",86,64,,0.9,0.0033849483102141266,1.0,,,,,,
2024,26.0,"{'gamma': 0.995, 'lr': 0.0005185393603352778, 'tau': 0.0006636774655002725, 'batch_size': 64, 'buffer_size': 100000, 'learning_starts': 3750, 'train_freq': 157, 'gradient_steps': 10, 'ent_coef': 1.0, 'net_arch': 'small'}",87,64,,0.995,0.0005185393603352778,1.0,,,,,,
